brand_name,pants_description,price,MRP,discount_percent,ratings,number_of_ratings,Discount_Percentage,Revenue_Score,Price Category
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57,45,78318,Mid
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,39,9145,Mid
Roadster,Men Pure Cotton Jeans,974,2499,0.61,3.6,1100,61,1071400,Budget
Bene Kleed,Relaxed Fit Denim Jeans,873,2299,0.62,4,4800,62,4190400,Budget
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264,49,390192,Mid
HERE&NOW,Men Stretchable Jeans,798,1699,0.53,4,33,53,26334,Budget
Urbano Fashion,Men Relaxed Fit Jeans,944,2099,0.55,4,4200,55,3964800,Budget
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42,42,68166,Mid
Bene Kleed,Men Wide Leg Heavy Fade Jeans,839,2799,0.7,3.6,114,70,95646,Budget
Bene Kleed,Relaxed Fit Denim Jeans,873,2299,0.62,4.1,5200,62,4539600,Budget
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,60,47817,Budget
Bene Kleed,Men Bootcut Jeans,873,2299,0.62,4,757,62,660861,Budget
Bene Kleed,Men Wide Leg Jeans,857,2599,0.67,3.6,152,67,130264,Budget
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,3.6,152,39,278008,Mid
styzon,Men Jogger Mid-Rise Jeans,899,3599,0.75,4.1,64,75,57536,Budget
Roadster,Cotton Ecru Straight Fit Jeans,949,2499,0.62,3.8,80,62,75920,Budget
Calvin Klein Jeans,Men Slim Fit Jeans,949,2499,0.62,3.8,80,62,75920,Budget
styzon,Men Relaxed Fit Jeans,989,1799,0.45,3.9,42,45,41538,Budget
Bene Kleed,Men Bootcut Jeans,850,2299,0.63,3.9,1000,63,850000,Budget
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,42,165750,Mid
HIGHLANDER,Men Relaxed Fit Mid-Rise Jeans,769,2749,0.72,3.6,432,72,332208,Budget
Bene Kleed,Men Mid-Rise Boot Cut Jeans,873,2299,0.62,4,591,62,515943,Budget
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,4,591,34,1364619,Premium
WROGN,Men Pure Cotton Loose Jeans,1449,2499,0.42,3.9,111,42,160839,Mid
Urbano Fashion,Men Relaxed Fit Jeans,1034,2299,0.55,3.6,618,55,639012,Mid
